,,0
34,7,62.499914752088145
16,6,54.07636023055669
31,6,58.19742444584047
40,3,59.38619526711871
12,1,51.4707402659512
36,6,49.22079315676268
17,7,59.66620292926052
16,9,46.27156031800807
42,10,78.90470516108347
19,4,42.603525440574785
18,4,73.26453973095293
24,4,56.237473041360296
39,4,58.377150613929686
48,1,64.49061605644768
20,7,45.66783313018156
44,4,61.412419398341235
1,6,51.26607767913608
3,7,50.24976753019258
2,5,55.218940341660414
27,2,61.469402582267804
8,5,62.25067736844615
32,2,64.10666057251213
28,5,77.40714992905113
33,3,58.63492886855016
36,8,65.10255855599671
34,8,59.352854818716196
7,6,37.77779862994379
16,3,40.36608558520575
12,6,57.452676738915926
17,2,69.59417290223541
20,9,43.35695646963566
19,3,84.08494907890899
18,9,50.159313363363246
15,4,50.05807446824627
24,1,56.44576408235111
20,4,47.65234548344901
44,9,65.4176946303089
1,1,46.77164721346847
4,10,51.39006169215878
3,2,43.643829506260154
2,6,49.72568218603122
8,2,53.71603407941458
23,10,64.21383889344995
4,5,61.33829417955657
28,10,60.558056558173114
35,10,60.098220252925856
40,10,54.6579159681124
44,3,54.198339481969874
18,10,50.10745398381044
3,1,74.105595893687
33,4,79.97256556881698
35,9,61.82624938350869
34,3,70.64793230654658
33,9,68.18459536132868
31,2,65.25123719943822
40,7,50.43328454039536
36,2,47.3543462413281
12,8,39.364856156109695
19,8,56.83133240738747
17,8,63.27972612988096
24,8,42.294527685620594
48,5,63.62794411059545
20,3,51.81193852210505
48,8,48.20385080655272
2,1,41.35649893673765
8,9,42.79082138083206
23,3,49.26958449498262
32,6,46.98094096375455
28,1,72.44077485453302
33,7,61.26837482689983
32,9,67.31070649487161
35,4,52.60524446946223
34,4,67.91375922335071
16,7,37.34048749547161
31,1,47.016854646795636
40,4,61.40235336137079
12,2,50.5724880136884
36,7,59.640430343959544
17,6,65.58995970198393
16,10,54.62576068501975
38,6,67.51997886957008
19,7,59.93592434095716
18,5,54.33533084709279
43,2,47.88388300923513
24,5,53.84841948069924
39,7,57.57036112910777
48,2,55.56654609711599
44,5,58.95744641892616
1,5,40.93846806087288
3,6,56.53970031230324
2,2,53.043823816884995
1,10,48.29723752671041
8,6,50.966211918753324
23,6,50.80110163107595
32,3,63.31698829028753
4,1,52.36945741095329
28,6,58.15337755467958
33,2,62.712030386345454
36,9,61.2013423418566
35,3,62.11715395018513
34,9,62.23474396724188
7,1,57.882066732019446
16,4,50.338735385862485
31,4,53.128047009425885
12,7,58.24842054056569
11,9,70.05326291875625
36,4,62.1967309345886
17,1,67.34713639643701
40,1,55.70354986503105
20,10,39.469507437803436
19,2,58.9386504085686
18,6,63.713296456853094
39,10,64.01658898990411
20,5,63.536109107384476
44,10,65.18070450248392
3,5,54.0876744672041
2,7,47.79902904806564
8,3,55.65465991125584
4,6,47.18194147571449
11,3,84.75488945125115
34,10,50.34407472711009
16,1,55.79597615911016
12,4,65.55208966570233
19,1,43.41761741017827
39,9,68.5513511775213
1,3,48.70385512652569
47,2,63.80852170859291
4,8,58.61296819510956
28,8,56.683052086579586
35,8,65.84479483393925
33,8,62.192895831482986
40,8,60.9943972727651
36,3,61.27818777936428
12,9,57.105323602641974
18,1,54.699048567220935
24,9,47.2791290999255
39,3,58.619948520295274
48,6,59.760976593272595
44,1,54.060749095288195
48,9,63.84030225572955
3,10,60.49140269307958
8,10,69.68928553802947
23,2,55.4180549737031
32,7,38.2448766976627
28,2,59.488118297533106
27,10,66.47715176846884
33,6,61.90777751960763
32,10,55.55835450804356
35,7,62.448027122315715
34,5,64.22936849815565
40,5,69.81595852251276
12,3,41.27128563543485
17,5,50.12389941584507
19,6,49.961574390169346
18,2,58.5624033079443
17,10,69.43325033693742
24,6,58.93420940440268
39,6,73.52848571752689
48,3,52.25236610528316
20,1,59.73393617001225
44,6,59.64444810778282
1,4,66.5772826719382
3,9,66.93000232596327
2,3,46.4588677579837
27,4,67.02715883335844
8,7,44.91735081025219
23,1,64.54605017430771
4,2,61.57881404940535
28,7,51.540052577631066
33,1,69.82829033418888
36,10,60.703544413354706
35,2,56.32572197934064
34,6,54.381603965905654
16,5,54.10121532213177
40,2,58.52323911383356
36,5,65.89798105802882
16,8,46.630200058285205
19,5,50.89298137218463
18,7,50.820340904767995
24,3,73.18395701527574
39,5,60.24035862407397
20,6,54.19013689962012
1,7,60.80615502288345
3,4,98.64812384974148
2,4,44.81401489453015
27,3,62.27632403536216
8,4,50.76803003201231
23,4,68.12094562261419
32,1,64.64390411552428
4,7,59.5447745777919
28,4,52.68153527861191
35,1,59.534474643130295
7,7,54.092309310633745
16,2,52.93780725301929
12,5,49.39115130436451
17,3,62.77075036325442
20,8,53.038745272209624
18,8,53.406891295646396
39,8,70.88251355731218
44,8,53.23880427657906
1,2,49.35423118700294
4,9,41.01240796915963
3,3,60.05754124117136
2,9,58.19243730920631
8,1,48.16116141983445
4,4,58.01788469676603
28,9,65.93026861940159
34,1,71.75479496060986
40,9,66.63992754468856
12,10,60.477267909070115
19,10,49.643378592198445
24,10,55.808526270412464
39,2,58.35240038638431
48,7,58.069964884439095
44,2,58.192106310726054
48,10,56.96260326153184
2,10,45.58847779595423
33,5,56.33314647332267
35,6,61.52009725490307
34,2,46.46782953472349
33,10,55.341950922884536
31,3,62.911579383997406
40,6,62.715806833904296
36,1,66.66981036130514
17,4,52.82306440181001
38,4,62.37781691554938
19,9,41.50832059302738
18,3,58.323550360308175
17,9,50.29338642464365
15,2,51.023519852523165
24,7,47.06976088894713
39,1,57.894179305297335
20,2,72.72244366407041
44,7,46.301220409648295
48,4,60.921680928173494
3,8,54.95655021273391
1,8,56.771356448143
8,8,54.05422591261265
32,5,58.56033418131379
4,3,49.500914750762156
32,8,58.63354577531584
35,5,62.393450958844745
